response,calendar_effect,estimate,std_error,p_value,ci_lower,ci_upper
casual,friday_deviation,-102.20067583910092,46.32138765280316,0.02736028512852287,-192.98892735251349,-11.412424325688377
casual,monday_deviation,-221.93313212442965,50.721555228580286,1.2114385026747236e-05,-321.3455536123063,-122.52071063655302
casual,non_holiday_deviation,-198.21632022335126,28.545359479033497,3.8140175844960174e-12,-254.16419672800595,-142.26844371869657
casual,sunday_deviation,511.90655964088717,39.28093680579474,8.054041945250028e-39,434.91733822253565,588.8957810592387
casual,thursday_deviation,-275.9888755255146,68.40675976581446,5.471254786976937e-05,-410.0636609655945,-141.91409008543462
casual,tuesday_deviation,-284.6216198587049,61.271590712246876,3.3967123714322694e-06,-404.7117309301876,-164.53150878722215
casual,wednesday_deviation,-288.1572520161818,58.83683215772743,9.703118877514903e-07,-403.47532400975564,-172.839180022608
cnt,non_working_day_deviation,-81.11343896085083,30.567399053153952,0.007963979954469484,-141.02444020609633,-21.202437715605335
registered,non_working_day_deviation,-417.599834520374,22.86565764922027,1.6251498437022746e-74,-462.4156999956685,-372.78396904507946
