effect,casual,cnt,registered
year_2011_deviation,-138.48698434391173,-1004.0609517360662,-855.9624166230417
spring_deviation,-144.3969794839499,-888.7403966420165,-712.9674812608439
summer_deviation,175.49937657518737,260.3967535776374,69.51136867837629
fall_deviation,-45.017467255429736,-26.64663856260539,21.523385254195965
clear_or_partly_cloudy_deviation,143.49949057585854,777.5164243944229,646.5577341549216
light_rain_or_snow_deviation,-189.8175943446951,-1123.589660540486,-943.9557101734883
temperature_effect,39.52843749286606,111.88555754946104,74.04441330676829
humidity_effect,-5.648516534090101,-16.591038617498107,-11.353720639396837
windspeed_effect,-14.786906693226213,-31.46430409884037,-17.673374125146694
