response,time_effect,estimate,std_error,p_value,ci_lower,ci_upper
casual,daily_ar1,0.3675511467853275,0.02749561246229838,9.347311789587421e-41,0.313660736626352,0.421441556944303
casual,weekly_ar1,0.2523480624362498,0.02614155925173474,4.767439558750926e-22,0.20111154780312987,0.30358457706936975
cnt,daily_ar1,0.4611485925415697,0.024552970051094518,1.0644186049566725e-78,0.41302565552793385,0.5092715295552055
cnt,weekly_ar1,0.11092638715695179,0.0326911073169558,0.0006908949907208446,0.046852994200984585,0.174999780112919
registered,daily_ar1,0.5168132701471269,0.022660120045962535,3.8920804195507835e-115,0.4724002509716862,0.5612262893225676
registered,weekly_ar1,0.10118146881872393,0.038434721733930026,0.008474562556252284,0.02585079846440222,0.17651213917304565
