response,term,estimate,std_error,p_value,ci_lower,ci_upper,parameter_type
cnt,Intercept,3612.161886006519,249.80345179517278,2.1674774258943736e-47,3122.5561172741927,4101.7676547388455,fixed_effect
cnt,"C(yr, Sum)[S.0]",-1004.0609517360662,59.01316797536087,6.4464088147603295e-65,-1119.7246355813859,-888.3972678907463,fixed_effect
cnt,"C(season_label, Sum)[S.spring]",-888.7403966420165,120.040223838861,1.3245315451870692e-13,-1124.0149120623105,-653.4658812217226,fixed_effect
cnt,"C(season_label, Sum)[S.summer]",260.3967535776374,90.54363256641189,0.004028446137157785,82.93449471804217,437.85901243723265,fixed_effect
cnt,"C(season_label, Sum)[S.fall]",-26.64663856260539,106.6821672542127,0.8027606275252388,-235.73984417354058,182.44656704832983,fixed_effect
cnt,"C(workingday, Sum)[S.0]",-81.11343896085083,30.567399053153952,0.007963979954469484,-141.02444020609633,-21.202437715605335,fixed_effect
cnt,"C(weather_label, Sum)[S.clear_or_partly_cloudy]",777.5164243944229,61.62713631083951,1.713479302757425e-36,656.7294567548369,898.3033920340089,fixed_effect
cnt,"C(weather_label, Sum)[S.light_rain_or_snow]",-1123.589660540486,77.66586416766722,1.9591674648449599e-47,-1275.8119571372936,-971.3673639436784,fixed_effect
cnt,temp_c,111.88555754946104,7.501599631517139,2.636987447888281e-50,97.1826924452485,126.58842265367358,fixed_effect
cnt,humidity_pct,-16.591038617498107,2.8161913727362506,3.831606577257807e-09,-22.110672281633573,-11.071404953362642,fixed_effect
cnt,windspeed_original_scale,-31.46430409884037,5.237849686589818,1.8886720055573377e-09,-41.73030084099082,-21.198307356689917,fixed_effect
cnt,ar.L1,0.4611485925415697,0.024552970051094518,1.0644186049566725e-78,0.41302565552793385,0.5092715295552055,time_structure
cnt,ar.S.L7,0.11092638715695179,0.0326911073169558,0.0006908949907208446,0.046852994200984585,0.174999780112919,time_structure
cnt,sigma2,517434.76780687075,20039.922149708622,5.260576407591317e-147,478157.24214045535,556712.2934732861,variance
casual,Intercept,873.4939177159486,111.03944109135917,3.646441962049267e-15,655.8606123134276,1091.1272231184694,fixed_effect
casual,"C(yr, Sum)[S.0]",-138.48698434391173,27.736595710741746,5.94689666002317e-07,-192.8497129907137,-84.12425569710976,fixed_effect
casual,"C(season_label, Sum)[S.spring]",-144.3969794839499,55.85994541122928,0.009738394945176669,-253.88046066833277,-34.91349829956705,fixed_effect
casual,"C(season_label, Sum)[S.summer]",175.49937657518737,39.146898880776405,7.3567189013239554e-06,98.77286466243426,252.2258884879405,fixed_effect
casual,"C(season_label, Sum)[S.fall]",-45.017467255429736,52.68289727133233,0.39282872914319733,-148.2740485084646,58.239113997605116,fixed_effect
casual,"C(weekday, Sum)[S.0]",511.90655964088717,39.28093680579474,8.054041945250028e-39,434.91733822253565,588.8957810592387,fixed_effect
casual,"C(weekday, Sum)[S.1]",-221.93313212442965,50.721555228580286,1.2114385026747236e-05,-321.3455536123063,-122.52071063655302,fixed_effect
casual,"C(weekday, Sum)[S.2]",-284.6216198587049,61.271590712246876,3.3967123714322694e-06,-404.7117309301876,-164.53150878722215,fixed_effect
casual,"C(weekday, Sum)[S.3]",-288.1572520161818,58.83683215772743,9.703118877514903e-07,-403.47532400975564,-172.839180022608,fixed_effect
casual,"C(weekday, Sum)[S.4]",-275.9888755255146,68.40675976581446,5.471254786976937e-05,-410.0636609655945,-141.91409008543462,fixed_effect
casual,"C(weekday, Sum)[S.5]",-102.20067583910092,46.32138765280316,0.02736028512852287,-192.98892735251349,-11.412424325688377,fixed_effect
casual,"C(holiday, Sum)[S.0]",-198.21632022335126,28.545359479033497,3.8140175844960174e-12,-254.16419672800595,-142.26844371869657,fixed_effect
casual,"C(weather_label, Sum)[S.clear_or_partly_cloudy]",143.49949057585854,29.967010431211527,1.6796382255719624e-06,84.76522940634783,202.23375174536926,fixed_effect
casual,"C(weather_label, Sum)[S.light_rain_or_snow]",-189.8175943446951,44.18729432649599,1.741032646181195e-05,-276.4230997988983,-103.2120888904919,fixed_effect
casual,temp_c,39.52843749286606,3.621006725903767,9.621171076949709e-28,32.43139472231738,46.625480263414744,fixed_effect
casual,humidity_pct,-5.648516534090101,1.2609964479547122,7.485063228964871e-06,-8.120024156714273,-3.1770089114659283,fixed_effect
casual,windspeed_original_scale,-14.786906693226213,2.3523881435111433,3.2593290742375593e-10,-19.397502732167094,-10.17631065428533,fixed_effect
casual,ar.L1,0.3675511467853275,0.02749561246229838,9.347311789587421e-41,0.313660736626352,0.421441556944303,time_structure
casual,ar.S.L7,0.2523480624362498,0.02614155925173474,4.767439558750926e-22,0.20111154780312987,0.30358457706936975,time_structure
casual,sigma2,101392.07515528622,3837.5249958927825,7.817792855660709e-154,93870.66437356414,108913.4859370083,variance
registered,Intercept,2806.1335787727867,195.5198521613256,1.0325953276207922e-46,2422.9217102739926,3189.3454472715807,fixed_effect
registered,"C(yr, Sum)[S.0]",-855.9624166230417,48.820927585821885,8.065489909336711e-69,-951.6496763830905,-760.2751568629928,fixed_effect
registered,"C(season_label, Sum)[S.spring]",-712.9674812608439,97.24950986039377,2.2789318924182787e-13,-903.5730181013886,-522.3619444202992,fixed_effect
registered,"C(season_label, Sum)[S.summer]",69.51136867837629,77.90512588845785,0.3722553700489277,-83.17987227406006,222.20260963081262,fixed_effect
registered,"C(season_label, Sum)[S.fall]",21.523385254195965,86.087898969656,0.8025746778912503,-147.2057962310526,190.25256673944455,fixed_effect
registered,"C(workingday, Sum)[S.0]",-417.599834520374,22.86565764922027,1.6251498437022746e-74,-462.4156999956685,-372.78396904507946,fixed_effect
registered,"C(weather_label, Sum)[S.clear_or_partly_cloudy]",646.5577341549216,45.78690897677937,2.818923432874268e-45,556.8170415970203,736.2984267128229,fixed_effect
registered,"C(weather_label, Sum)[S.light_rain_or_snow]",-943.9557101734883,55.71191366048252,2.1488777081890013e-64,-1053.1490544578392,-834.7623658891375,fixed_effect
registered,temp_c,74.04441330676829,5.900846289476883,4.071592484702717e-36,62.47896710108679,85.6098595124498,fixed_effect
registered,humidity_pct,-11.353720639396837,2.1606580814271497,1.482247125187183e-07,-15.58853266189946,-7.118908616894212,fixed_effect
registered,windspeed_original_scale,-17.673374125146694,4.151283916399053,2.068854135314159e-05,-25.809741090889222,-9.537007159404165,fixed_effect
registered,ar.L1,0.5168132701471269,0.022660120045962535,3.8920804195507835e-115,0.4724002509716862,0.5612262893225676,time_structure
registered,ar.S.L7,0.10118146881872393,0.038434721733930026,0.008474562556252284,0.02585079846440222,0.17651213917304565,time_structure
registered,sigma2,300759.4021147798,11976.375476736794,3.611595440839005e-139,277286.137515047,324232.6667145126,variance
