response,selected_fixed_effects,selected_error_structure,converged,aic,bic,daily_ar1_parameter,weekly_ar1_parameter,lag1_autocorrelation,lag7_autocorrelation,durbin_watson,ljung_box_pvalue_7,ljung_box_pvalue_14,ljung_box_pvalue_30
cnt,workingday specification,"AR(1) + seasonal AR(1), period 7",True,11718.594217876249,11782.916006312746,0.4611485925415697,0.11092638715695179,-0.04284737575197864,-0.010063494276651897,2.0847024566815096,0.011658528252511418,0.0011349839551350513,0.005687109585534685
casual,weekday and holiday specification,"AR(1) + seasonal AR(1), period 7",True,10541.41296432446,10633.301233519454,0.3675511467853275,0.2523480624362498,0.012384608929521448,-0.04158409446609481,1.9701657195823683,6.292571352973837e-08,2.5631432394351768e-08,3.9218566952318616e-17
registered,workingday specification,"AR(1) + seasonal AR(1), period 7",True,11318.949078827722,11383.270867264218,0.5168132701471269,0.10118146881872393,-0.025901835147683253,-0.012163093150104918,2.051316710623097,0.15320704308377867,0.016894214616840358,0.05434535679038881
